id,id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
4110,3728,Gao Xingjian,Male,1940,Ganzhou,,China,Asia,25.86667000000001,114.93333,Writer,Language,Humanities,63,1439340,22847,24.1041
8160,3769,Wassily Leontief,Male,1905,Munich,,Germany,Europe,48.13333,11.56667,Economist,Social Sciences,Science & Technology,43,621949,14464,24.0845
4927,1777,Justus von Liebig,Male,1803,Darmstadt,,Germany,Europe,49.86667,8.65,Chemist,Natural Sciences,Science & Technology,44,1277543,29035,25.3021
3031,5856,William Stanley Jevons,Male,1835,Liverpool,,United Kingdom,Europe,53.4,-3.0,Economist,Social Sciences,Science & Technology,27,556636,20616,22.9292
7267,58,Thomas Aquinas,Male,1225,Roccasecca,,Italy,Europe,41.55,13.666670000000002,Philosopher,Philosophy,Humanities,103,17427900,169203,29.4352
192,1465,Pope Leo IX,Male,1002,Eguisheim,,France,Europe,48.0436,7.3067,Nobleman,Government,Institutions,49,771835,15752,25.5588
1727,11061,Ramires,Male,1987,Barra do Piraí,,Brazil,South America,-22.47,-43.825829999999996,Soccer Player,Team Sports,Sports,35,2594845,74138,14.6643
5358,4041,Frits Zernike,Male,1888,Amsterdam,,Netherlands,Europe,52.36667,4.9,Physicist,Natural Sciences,Science & Technology,42,372527,8870,23.9225
7779,5651,"Thubten Gyatso, 13th Dalai Lama",Male,1876,Thakpo Langdun,,China,Asia,,,Religious Figure,Religion,Institutions,27,1022624,37875,23.0383
1462,5207,Harold Macmillan,Male,1894,Chelsea,,United Kingdom,Europe,51.4875,-0.1684,Politician,Government,Institutions,50,1708508,34170,23.2807
6479,6540,Elisabeth of France,Female,1602,Fontainebleau,,France,Europe,48.40222,2.70056,Politician,Government,Institutions,26,108292,4165,22.5215
6025,5472,A. A. Milne,Male,1882,Hampstead,,United Kingdom,Europe,51.5541,-0.1744,Writer,Language,Humanities,33,2228190,67521,23.1339
10990,479,Florence Nightingale,Female,1820,Florence,,Italy,Europe,43.78333,11.25,Physician,Medicine,Science & Technology,81,12183178,150410,27.0094
1679,994,Pope Leo X,Male,1475,Florence,,Italy,Europe,43.78333,11.25,Religious Figure,Religion,Institutions,57,3143240,55145,26.052
5699,2912,Igor Stravinsky,Male,1882,Lomonosov,,Russia,Europe,59.916669999999996,29.76667,Composer,Music,Arts,88,10212624,116053,24.5543
8023,3049,Bram Stoker,Male,1847,Dublin,,Ireland,Europe,53.365,-6.21,Writer,Language,Humanities,61,11446300,187644,24.4769
712,1808,Roderic,Male,688,Other,,Unknown,Unknown,,,Politician,Government,Institutions,31,825993,26645,25.2656
2462,10081,Conchita Martínez,Female,1972,Monzón,,Spain,Europe,41.91,0.19,Tennis Player,Individual Sports,Sports,31,562599,18148,17.3654
10147,489,Gallienus,Male,218,Other,,Italy,Europe,,,Politician,Government,Institutions,49,1001951,20448,26.9885
10531,4349,Joseph I of Portugal,Male,1714,Lisbon,,Portugal,Europe,,,Politician,Government,Institutions,30,533868,17796,23.7688
4944,10350,Alexei Shirov,Male,1972,Riga,,Latvia,Europe,56.94889000000001,24.10639,Chessmaster,Individual Sports,Sports,27,237715,8804,16.7395
7600,11234,Masiela Lusha,Female,1985,Tirana,,Albania,Europe,41.326,19.816,Actor,Film And Theatre,Arts,77,2976937,38662,13.6305
8833,8463,Youssou N'Dour,Male,1959,Dakar,,Senegal,Africa,14.692779999999999,-17.44667,Singer,Music,Arts,30,1652130,55071,20.4977
8053,5705,Gilbert N. Lewis,Male,1875,Weymouth,MA,United States,North America,42.22083,-70.94028,Chemist,Natural Sciences,Science & Technology,32,1083015,33844,23.0078
6295,9405,Almaz Atambayev,Male,1956,Arashan,,Kyrgyzstan,Asia,,,Politician,Government,Institutions,35,259621,7418,18.7712
5503,6400,José Luis Rodríguez Zapatero,Male,1960,Valladolid,,Spain,Europe,41.63333,-4.71667,Politician,Government,Institutions,73,4039036,55329,22.6103
11020,4893,George Martin,Male,1926,HM Prison Holloway,,United Kingdom,Europe,51.55401,-0.12531,Musician,Music,Arts,39,3040392,77959,23.4701
4222,8489,Ice T,Male,1958,Newark,NJ,United States,North America,40.72422,-74.17257,Musician,Music,Arts,29,10259579,353779,20.4632
155,10570,Logan Lerman,Male,1992,Los Angeles,CA,United States,North America,34.07306,-118.39943999999998,Actor,Film And Theatre,Arts,31,14300785,461316,16.1873
1277,6785,Rosalind Franklin,Female,1920,Notting Hill,,United Kingdom,Europe,51.5096,-0.2043,Biologist,Natural Sciences,Science & Technology,43,7892474,183546,22.3585
8158,9189,Kristen Stewart,Female,1990,Los Angeles,CA,United States,North America,34.05,-118.25,Actor,Film And Theatre,Arts,58,55438548,955837,19.2244
6469,659,Manetho,Male,-300,Other,,Egypt,Africa,,,Historian,History,Humanities,46,685489,14902,26.6035
3949,1947,Ezra Pound,Male,1885,Hailey,ID,United States,North America,43.515,-114.30639,Writer,Language,Humanities,52,4817204,92639,25.1584
2454,8373,Davíð Oddsson,Male,1948,Reykjavik,,Iceland,Europe,64.13333,-21.933329999999998,Politician,Government,Institutions,27,206764,7658,20.6299
9865,10141,Mari Kiviniemi,Female,1968,Seinäjoki,,Finland,Europe,62.791669999999996,22.84167,Politician,Government,Institutions,45,459411,10209,17.2561
3296,2505,Michael I of Russia,Male,1596,Moscow,,Russia,Europe,55.75,37.61667,Politician,Government,Institutions,44,1549279,35211,24.7822
4086,5870,P. T. Barnum,Male,1810,Bethel,CT,United States,North America,41.37417,-73.395,Businessperson,Business,Business & Law,32,1783510,55735,22.923000000000002
3852,3960,Stuart Sutcliffe,Male,1940,Edinburgh,,United Kingdom,Europe,55.95306,-3.1888900000000002,Musician,Music,Arts,36,3495086,97086,23.9659
4450,4171,Artabasdos,Male,700,Other,,Unknown,Unknown,,,Politician,Government,Institutions,33,139940,4241,23.8546
2305,4426,Karol Szymanowski,Male,1882,Tymoszówka,,Ukraine,Europe,,,Composer,Music,Arts,29,1115719,38473,23.7241
8802,74,Mahatma Gandhi,Male,1869,Porbandar,,India,Asia,21.63,69.6,Social Activist,Activism,Public Figure,138,44366012,321493,29.1406
526,4799,Anna Pavlova,Female,1881,Saint Petersburg,,Russia,Europe,59.95,30.3,Dancer,Dance,Arts,41,1933653,47162,23.5206
7074,5815,Glenn Ford,Male,1916,Sainte-Christine,,Canada,North America,46.81667,-71.96667,Actor,Film And Theatre,Arts,33,2497055,75668,22.9547
2595,10428,Emile Heskey,Male,1978,Leicester,,United Kingdom,Europe,52.63333000000001,-1.13333,Soccer Player,Team Sports,Sports,40,4094451,102361,16.5589
8036,11088,Yelena Slesarenko,Female,1982,Volgograd,,Russia,Europe,48.7,44.51667,Athlete,Individual Sports,Sports,26,162963,6268,14.5771
11242,8638,Michael Ballack,Male,1976,Görlitz,,Germany,Europe,51.15278,14.98722,Soccer Player,Team Sports,Sports,62,8735747,140899,20.2157
8285,7737,Jan Peter Balkenende,Male,1956,Biezelinge,,Netherlands,Europe,51.48333,3.9666699999999997,Politician,Government,Institutions,55,1346632,24484,21.5125
329,8554,Fernando Alonso,Male,1981,Oviedo,,Spain,Europe,43.35,-5.845,Racecar Driver,Individual Sports,Sports,94,8891161,94587,20.3486
5846,235,Septimius Severus,Male,145,Leptis Magna,,Libya,Africa,32.63917,14.290560000000001,Politician,Government,Institutions,61,2978333,48825,27.8008
6317,10753,Robert Green,Male,1980,Chertsey,,United Kingdom,Europe,51.3902,-0.5074,Soccer Player,Team Sports,Sports,37,1435413,38795,15.7243
10315,6959,Alasdair MacIntyre,Male,1929,Glasgow,,United Kingdom,Europe,55.858000000000004,-4.2589999999999995,Philosopher,Philosophy,Humanities,26,813440,31286,22.238000000000003
11030,297,Ludwig Wittgenstein,Male,1889,Vienna,,Austria,Europe,48.2,16.366670000000006,Philosopher,Philosophy,Humanities,83,8293279,99919,27.5203
10086,9049,Holly Marie Combs,Female,1973,San Diego,CA,United States,North America,32.715,-117.1625,Actor,Film And Theatre,Arts,32,6728960,210280,19.4776
6357,10458,Alessandro Faiolhe Amantino Mancini,Male,1980,Ipatinga,,Brazil,South America,-19.5,-42.53333,Soccer Player,Team Sports,Sports,27,840533,31131,16.4817
9888,5771,Charles Lucien Bonaparte,Male,1803,Paris,,France,Europe,48.8567,2.3508,Biologist,Natural Sciences,Science & Technology,31,296245,9556,22.9765
9210,3362,Shen Kuo,Male,1031,Hangzhou,,China,Asia,30.25,120.16667,Philosopher,Philosophy,Humanities,30,517433,17248,24.3046
2660,594,Horemheb,Male,-1350,Other,,Unknown,Unknown,,,Politician,Government,Institutions,38,943695,24834,26.7293
5099,2629,Arturo Toscanini,Male,1867,Parma,,Italy,Europe,44.8,10.33333,Conductor,Music,Arts,41,1652172,40297,24.7128
10999,4222,Clara Zetkin,Female,1857,Königshain-Wiederau,,Germany,Europe,50.97083,12.8625,Politician,Government,Institutions,48,1306296,27215,23.8278
536,10965,Aleksandr Kerzhakov,Male,1982,Kingisepp,,Russia,Europe,59.36666999999999,28.61667000000001,Soccer Player,Team Sports,Sports,37,995337,26901,15.0151
10597,11315,Asa,Male,Unknown,Other,,Unknown,Unknown,,,Politician,Government,Institutions,31,282386,9109,12.3371
1823,6027,Isabella Rossellini,Female,1952,Rome,,Italy,Europe,41.9,12.5,Model,Media Personality,Public Figure,36,6346333,176287,22.836
797,445,"George Gordon Noel Byron, 6th Baron Byron",Male,1788,London,,United Kingdom,Europe,51.56667,-0.33333,Writer,Language,Humanities,99,8744028,88324,27.115
5635,11211,Diego Pérez,Male,1980,Montevideo,,Uruguay,South America,-34.88361,-56.181940000000004,Soccer Player,Team Sports,Sports,27,208201,7711,13.8455
5221,6437,Sandro Pertini,Male,1896,Stella,,Italy,Europe,44.4,8.5,Politician,Government,Institutions,32,1630254,50945,22.589000000000002
7613,1138,Ptolemy XIII Theos Philopator,Male,-62,Other,,Unknown,Unknown,,,Politician,Government,Institutions,33,535768,16235,25.8934
4708,5822,Leo Baekeland,Male,1863,Sint-Martens-Latem,,Belgium,Europe,51.01667,3.6333300000000004,Chemist,Natural Sciences,Science & Technology,31,503417,16239,22.9504
5159,6868,Giuseppe Di Stefano,Male,1921,Motta Sant'Anastasia,,Italy,Europe,37.5,14.96667,Singer,Music,Arts,26,515684,19834,22.3105
6188,1990,Mardonius,Male,-500,Other,,Unknown,Unknown,,,Military Personnel,Military,Institutions,30,391941,13065,25.1328
8224,10242,Arda Turan,Male,1987,Fatih,,Turkey,Asia,41.0225,28.94083,Soccer Player,Team Sports,Sports,37,4557455,123174,17.0262
3060,3942,Irena Sendler,Female,1910,Otwock,,Poland,Europe,52.11667,21.26667,Social Activist,Activism,Public Figure,41,4927078,120173,23.9821
8235,879,Martial,Male,40,Augusta Bilbilis,,Spain,Europe,,,Writer,Language,Humanities,37,1305740,35290,26.2186
5157,10851,Federico Balzaretti,Male,1981,Turin,,Italy,Europe,45.06667,7.7,Soccer Player,Team Sports,Sports,31,1433091,46229,15.4408
11292,2528,William Howard Taft,Male,1857,Cincinnati,OH,United States,North America,39.1,-84.51666999999998,Politician,Government,Institutions,85,7254933,85352,24.7676
1976,7896,Anerood Jugnauth,Male,1930,Vacoas-Phoenix,,Mauritius,Africa,-20.30005,57.474509999999995,Politician,Government,Institutions,27,243326,9012,21.3017
6918,9034,Juan Sebastián Verón,Male,1975,La Plata,,Argentina,South America,-34.92111,-57.95444000000001,Soccer Player,Team Sports,Sports,42,4115769,97995,19.500999999999998
6913,9466,Petr Čech,Male,1982,Pilsen,,Czech Republic,Europe,49.7475,13.3775,Soccer Player,Team Sports,Sports,56,7237347,129238,18.6441
7456,3381,Stefan Banach,Male,1892,Kraków,,Poland,Europe,50.06139,19.93833,Mathematician,Math,Science & Technology,46,841599,18296,24.2951
8334,802,Dio Cassius,Male,155,İznik,,Turkey,Asia,40.42917,29.721109999999996,Historian,History,Humanities,41,1023415,24961,26.3279
714,9899,Dokka Umarov,Male,1964,Chechen-Ingush Autonomous Soviet Socialist Republic,,Russia,Europe,,,Extremist,Outlaws,Public Figure,28,941079,33610,17.7771
4928,10509,Boris Gelfand,Male,1968,Minsk,,Belarus,Europe,53.9,27.566670000000002,Chessmaster,Individual Sports,Sports,36,459141,12754,16.3579
3175,2669,Eyvind Johnson,Male,1900,Boden,,Sweden,Europe,65.82556,21.69056,Writer,Language,Humanities,56,436696,7798,24.6951
9438,425,Robert Alexander Schumann,Male,1810,Zwickau,,Germany,Europe,50.71667,12.5,Composer,Music,Arts,76,8565063,112698,27.1574
7120,4781,Mary I of Portugal,Female,1734,Lisbon,,Portugal,Europe,38.71389,-9.139439999999999,Politician,Government,Institutions,29,816847,28167,23.5297
8832,8481,Kim Campbell,Female,1947,Port Alberni,,Canada,North America,49.23389,-124.805,Politician,Government,Institutions,30,1265945,42198,20.4764
6331,11193,Lars Bender,Male,1989,Rosenheim,,Germany,Europe,47.85,12.13333,Soccer Player,Team Sports,Sports,31,1348928,43514,13.9502
1532,8963,David Coulthard,Male,1971,Twynholm,,United Kingdom,Europe,54.86459,-4.08328,Racecar Driver,Individual Sports,Sports,45,2595984,57689,19.6646
10239,9133,Jerzy Dudek,Male,1973,Rybnik,,Poland,Europe,50.1,18.55,Soccer Player,Team Sports,Sports,39,2749266,70494,19.3264
1916,5641,Óscar Romero,Male,1917,Ciudad Barrios,,El Salvador,North America,13.766670000000001,-88.26666999999998,Religious Figure,Religion,Institutions,29,2759733,95163,23.0442
1648,3658,Pope John XI,Male,910,Rome,,Italy,Europe,41.9,12.5,Religious Figure,Religion,Institutions,45,336423,7476,24.1407
6104,8364,Tony Hawk,Male,1968,Carlsbad,CA,United States,North America,33.12194,-117.29693999999999,Skater,Individual Sports,Sports,28,7796163,278434,20.6401
10545,3764,Fuzûlî,Male,1494,Karbala,,Iraq,Asia,32.61667,44.03333,Writer,Language,Humanities,45,1163834,25863,24.088
2928,9869,Emre Belözoğlu,Male,1980,Istanbul,,Turkey,Asia,41.01361,28.955,Soccer Player,Team Sports,Sports,36,3419611,94989,17.8478
9792,6253,Tunku Abdul Rahman,Male,1903,Alor Setar,,Malaysia,North America,6.11667,100.36667,Politician,Government,Institutions,28,1806973,64535,22.6994
11232,3284,George Seferis,Male,1900,Urla,,Turkey,Asia,38.32222,26.76472,Writer,Language,Humanities,56,815084,14555,24.3465
6174,5656,Julius Nyerere,Male,1922,Butiama,,Tanzania,Africa,-1.76667,33.96667,Politician,Government,Institutions,43,1079977,25116,23.0348
1085,9016,Damien Hirst,Male,1965,Bristol,,United Kingdom,Europe,51.45,-2.58333,Artist,Fine Arts,Arts,29,5233895,180479,19.5288
2356,129,Diogenes of Sinope,Male,-412,Sinop,,Turkey,Asia,42.03333,35.15,Philosopher,Philosophy,Humanities,62,5869970,94677,28.4978
904,430,Valerian,Male,200,Other,,Unknown,Unknown,,,Politician,Government,Institutions,47,771977,16425,27.1442
1490,4187,Robert Ley,Male,1890,Germany,,Germany,Europe,52.51667,13.383329999999999,Politician,Government,Institutions,26,1152948,44344,23.8443
